ID,1930,1940,1950,1960,1970,1980,1990,2000,2010
57,  6 ,  1 ,  6 ,  1 ,  1 ,  8 ,  2 ,  74 ,  130 
58,  41 ,  34 ,  49 ,  36 ,  34 ,  33 ,  17 ,  221 ,  542 
59,  3 ,  1 ,  7 ,  - ,  4 ,  5 ,  10 ,  116 ,  234 
60,  1 ,  6 ,  23 ,  65 ,  45 ,  34 ,  38 ,  354 ,  672 
61,  79 ,  68 ,  112 ,  166 ,"  2,152 ","  12,117 ","  21,568 ","  18,252 ","  13,148 "
62, - , - ,  4 ,  - ,  5 ,  7 ,  4 ,  74 ,  255 
63, - ,  1 ,  6 ,  2 ,  1 ,  163 ,"  1,292 ","  2,743 ","  2,161 "
64, - ,  6 ,  1 ,  2 ,  1 ,  5 ,  9 ,  137 ,  282 
65,  3 ,  5 ,  12 ,  5 ,  10 ,  52 ,  58 ,  760 ,"  1,390 "
66,  6 ,  6 ,  18 ,  3 ,  10 ,"  4,762 ","  13,404 ","  32,240 ","  27,403 "
67,"  1,967 ","  2,479 ","  3,756 ","  6,842 ","  29,917 ","  60,546 ","  51,750 ","  44,271 ","  34,178 "
68,"  1,126 ","  2,008 ","  9,857 ","  67,216 ","  86,503 ","  58,037 ","  47,870 ","  39,352 ","  29,847 "
69,  254 ,  276 ,"  3,575 ","  54,257 ","  53,374 ","  44,466 ","  38,217 ","  37,779 ","  31,590 "
70, - , - ,  390 ,  1 ,  503 ,"  1,082 ","  3,697 ","  17,045 ","  18,976 "
71,  17 ,  13 ,  18 ,  91 ,"  47,312 ","  63,708 ","  59,172 ","  54,862 ","  47,661 "
72,  50 ,  67 ,  16 ,  14 ,  30 ,"  3,151 ","  5,369 ","  7,006 ","  6,838 "
73,  33 ,  49 ,  44 ,"  3,711 ","  27,307 ","  35,644 ","  31,621 ","  29,108 ","  25,793 "
74, - , - ,  3 ,  4 ,  22 ,  92 ,  247 ,  672 ,  987 
75,"  4,466 ","  6,185 ","  8,984 ","  9,797 ","  14,799 ","  18,226 ","  17,225 ","  16,816 ","  15,039 "
76,0,0,0,0,  11 ,  163 ,  312 ,  258 ,  403 
77,  86 ,  111 ,  91 ,  53 ,  373 ,"  6,368 ","  11,643 ","  10,564 ","  8,104 "
