Community,1930,1940,1950,1960,1970,1980,1990,2000,2010
26. West Garfield Park,0,0,0,0,  29 , N/A ,  17 ,  18 ,  8 
27. East Garfield Park,0,0,0,0,  54 , N/A ,  14 ,  25 ,  83 
28. Near West Side,0,0,0,0,  747 , N/A ,"  2,283 ","  4,861 ","  8,022 "
29. North Lawndale,0,0,0,0,  214 , N/A ,  33 ,  54 ,  74 
30. South Lawndale,0,0,0,0,  179 , N/A ,  88 ,  116 ,  113 
31. Lower West Side,0,0,0,0,  72 , N/A ,  68 ,  121 ,  371 
32. Loop,0,0,0,0,  48 , N/A ,  439 ,"  1,625 ","  4,658 "
33. Near South Side,0,0,0,0,  155 , N/A ,  51 ,  516 ,"  3,307 "
34. Armour Square,0,0,0,0,"  3,144 ", N/A ,"  5,596 ","  7,305 ","  9,721 "
35. Douglas,0,0,0,0,  619 , N/A ,  788 ,"  1,390 ","  2,313 "
36. Oakland,0,0,0,0,  41 , N/A ,  7 ,  8 ,  35 
37. Fuller Park,0,0,0,0,  48 , N/A ,  2 ,  6 ,  7 
38. Grand Boulevard,0,0,0,0,  27 , N/A ,  29 ,  21 ,  57 
39. Kenwood,0,0,0,0,  175 , N/A ,  453 ,  785 ,  973 
40. Washington Park,0,0,0,0,  30 , N/A ,  13 ,  5 ,  12 
41. Hyde Park,0,0,0,0,"  1,097 ", N/A ,"  2,433 ","  3,366 ","  3,185 "
42. Woodlawn,0,0,0,0,  133 , N/A ,  164 ,  207 ,  544 
43. South Shore,0,0,0,0,  423 , N/A ,  94 ,  85 ,  124 
44. Chatham,0,0,0,0,  59 , N/A ,  41 ,  24 ,  27 
45. Avalon Park,0,0,0,0,  64 , N/A ,  30 ,  19 ,  19 
46. South Chicago,0,0,0,0,  129 , N/A ,  42 ,  49 ,  67 
47. Burnside,0,0,0,0,  20 , N/A ,  2 ,  7 ,  - 
48. Calumet Heights,0,0,0,0,  189 , N/A ,  89 ,  33 ,  26 
49. Roseland,0,0,0,0,  83 , N/A ,  56 ,  31 ,  27 
50. Pullman,0,0,0,0,  18 , N/A ,  17 ,  15 ,  5 
51. South Deering,0,0,0,0,  79 , N/A ,  20 ,  8 ,  18 
52. East Side,0,0,0,0,  12 , N/A ,  35 ,  57 ,  53 
53. West Pullman,0,0,0,0,  44 , N/A ,  38 ,  16 ,  14 
54. Riverdale,0,0,0,0,  4 , N/A ,  2 ,  7 ,  2 
55. Hegewisch,0,0,0,0,  7 , N/A ,  49 ,  32 ,  48 
56. Garfield Ridge,0,0,0,0,  140 , N/A ,  382 ,  328 ,  346 
57. Archer Heights,0,0,0,0,  13 , N/A ,  49 ,  48 ,  138 
58. Brighton Park,0,0,0,0,  99 , N/A ,  611 ,"  1,288 ","  2,252 "
59. McKinley Park,0,0,0,0,  17 , N/A ,  319 ,"  1,212 ","  2,445 "
60. Bridgeport,0,0,0,0,  86 , N/A ,"  4,925 ","  8,808 ","  11,038 "
61. New City,0,0,0,0,  151 , N/A ,  119 ,  146 ,  727 
62. West Elsdon,0,0,0,0,  12 , N/A ,  62 ,  136 ,  222 
63. Gage Park,0,0,0,0,  16 , N/A ,  205 ,  161 ,  121 
64. Clearing,0,0,0,0,  32 , N/A ,  119 ,  152 ,  212 
65. West Lawn,0,0,0,0,  51 , N/A ,  173 ,  272 ,  210 
66. Chicago Lawn,0,0,0,0,  91 , N/A ,  851 ,  393 ,  190 
67. West Englewood,0,0,0,0,  132 , N/A ,  48 ,  29 ,  19 
68. Englewood,0,0,0,0,  111 , N/A ,  66 ,  27 ,  34 
69. Greater Grand Crossing,0,0,0,0,  64 , N/A ,  21 ,  26 ,  21 
70. Ashburn,0,0,0,0,  73 , N/A ,  358 ,  408 ,  276 
71. Auburn Gresham,0,0,0,0,  64 , N/A ,  28 ,  45 ,  33 
72. Beverly,0,0,0,0,  78 , N/A ,  114 ,  121 ,  112 
73. Washington Heights,0,0,0,0,  82 , N/A ,  20 ,  9 ,  12 
74. Mount Greenwood,0,0,0,0,  20 , N/A ,  70 ,  61 ,  126 
75. Morgan Park,0,0,0,0,  51 , N/A ,  82 ,  83 ,  92 
76. O'Hare,0,0,0,0,  71 , N/A ,  307 ,  885 ,"  1,058 "
77. Edgewater,0,0,0,0,"  2,580 ", N/A ,"  7,041 ","  7,172 ","  6,582 "
Chicago,0,0,0,0,"  31,810 ", N/A ,"  98,777 ","124,437","144,903"
