Community,1930,1940,1950,1960,1970,1980,1990,2000,2010
58. Brighton Park,  446 ,  1 ,  6 ,  35 ,  109 ,  653 ,  104 ,  694 ,  199 
59. McKinley Park,  9 ,  5 ,  4 ,  23 ,  39 ,  107 ,  48 ,  208 ,  155 
60. Bridgeport,  501 ,  5 ,  15 ,  59 ,  380 ,  765 ,  118 ,  548 ,  415 
61. New City,"  2,158 ",  23 ,  29 ,  90 ,  393 ,  708 ,  184 ,  586 ,  374 
62. West Elsdon,  54 , - ,  3 ,  5 ,  20 ,  104 ,  10 ,  375 ,  68 
63. Gage Park,  6 ,  7 ,  11 ,  20 ,  52 ,  369 ,  67 ,  399 ,  131 
64. Clearing,  17 ,  2 ,  8 ,  18 ,  46 ,  113 ,  35 ,  307 ,  240 
65. West Lawn, - , - ,  7 ,  12 ,  30 ,  180 ,  35 ,  484 ,  162 
66. Chicago Lawn,  15 ,  3 ,  6 ,  50 ,  92 ,"  1,168 ",  223 ,"  1,055 ",  475 
67. West Englewood,  24 ,  26 ,  41 ,  91 ,  239 ,  121 ,  65 ,  359 ,  404 
68. Englewood,  64 ,  42 ,  110 ,  272 ,  403 ,  205 ,  77 ,  318 ,  343 
69. Greater Grand Crossing,  86 ,  21 ,  70 ,  225 ,  185 ,  215 ,  47 ,  392 ,  423 
70. Ashburn,  56 , - ,  11 ,  33 ,  42 ,  464 ,  50 ,  911 ,  446 
71. Auburn Gresham,  21 ,  9 ,  14 ,  47 ,  200 ,  223 ,  54 ,  437 ,  456 
72. Beverly,  3 ,  2 ,  5 ,  9 ,  10 ,  152 ,  58 ,  408 ,  384 
73. Washington Heights,  42 ,  2 ,  17 ,  65 ,  73 ,  114 ,  40 ,  302 ,  309 
74. Mount Greenwood, - ,  1 , - ,  19 ,  3 ,  71 ,  27 ,  237 ,  185 
75. Morgan Park,  14 ,  9 ,  16 ,  33 ,  46 ,  148 ,  50 ,  284 ,  321 
76. O'Hare,0,0,0,0,  10 ,  243 ,  17 ,  305 ,  238 
77. Edgewater,  80 ,  28 ,  183 ,"  1,078 ",  809 ,"  7,132 ",  382 ,"  2,504 ","  1,628 "
Chicago,"  24,804 ","  4,513 ","  17,172 ","  25,019 ","  24,760 ","  95,547 ","  8,578 ","57,030","44,830"
