ID,1930,1940,1950,1960,1970,1980,1990,2000,2010
24,0,0,0,0,"  48,900 ","  54,693 ","  54,361 ","  40,966 ","  23,901 "
25,0,0,0,0,"  4,577 ","  8,148 ","  4,154 ","  4,841 ","  8,722 "
26,0,0,0,0,  344 ,  278 ,  133 ,  201 ,  348 
27,0,0,0,0,  534 ,  263 ,  151 ,  207 ,  850 
28,0,0,0,0,"  7,014 ","  5,705 ","  4,416 ","  4,415 ","  5,048 "
29,0,0,0,0,"  1,501 ","  1,653 ","  1,471 ","  1,896 ","  2,144 "
30,0,0,0,0,"  20,044 ","  55,700 ","  69,131 ","  75,613 ","  65,457 "
31,0,0,0,0,"  24,463 ","  34,867 ","  40,227 ","  39,144 ","  29,486 "
32,0,0,0,0,  83 ,  222 ,  679 ,  975 ,"  2,010 "
33,0,0,0,0,  131 ,  108 ,  108 ,  377 ,"  1,202 "
34,0,0,0,0,  796 ,  603 ,  471 ,  448 ,  464 
35,0,0,0,0,  588 ,  313 ,  253 ,  295 ,  465 
36,0,0,0,0,  125 ,  97 ,  34 ,  58 ,  87 
37,0,0,0,0,  58 ,  71 ,  41 ,  116 ,  132 
38,0,0,0,0,  451 ,  350 ,  146 ,  236 ,  395 
39,0,0,0,0,  275 ,  241 ,  241 ,  301 ,  542 
40,0,0,0,0,  197 ,  205 ,  48 ,  134 ,  104 
41,0,0,0,0,  882 ,  721 ,  895 ,"  1,230 ","  1,626 "
42,0,0,0,0,  710 ,  285 ,  178 ,  288 ,  504 
43,0,0,0,0,"  1,173 ",  917 ,  497 ,  636 ,  893 
44,0,0,0,0,  519 ,  271 ,  198 ,  220 ,  311 
45,0,0,0,0,  283 ,  109 ,  81 ,  85 ,  153 
46,0,0,0,0,"  11,906 ","  18,229 ","  13,644 ","  10,565 ","  6,774 "
47,0,0,0,0,  251 ,  100 ,  16 ,  34 ,  20 
48,0,0,0,0,"  1,631 ","  1,481 ",  920 ,  747 ,  569 
49,0,0,0,0,"  1,215 ",  550 ,  283 ,  363 ,  458 
50,0,0,0,0,  293 ,  642 ,  780 ,  795 ,  571 
51,0,0,0,0,"  3,220 ","  4,763 ","  5,038 ","  5,176 ","  4,809 "
52,0,0,0,0,  807 ,"  2,678 ","  8,177 ","  16,113 ","  18,076 "
53,0,0,0,0,"  1,476 ","  2,309 ","  1,771 ","  1,699 ","  1,509 "
54,0,0,0,0,  157 ,  176 ,  150 ,  160 ,  132 
55,0,0,0,0,  392 ,  718 ,"  1,290 ","  2,820 ","  4,671 "
56,0,0,0,0,  971 ,"  1,566 ","  2,509 ","  5,948 ","  13,515 "
57,0,0,0,0,  178 ,  354 ,  779 ,"  5,485 ","  10,182 "
58,0,0,0,0,"  2,329 ","  4,539 ","  12,044 ","  34,409 ","  38,693 "
59,0,0,0,0,  970 ,"  2,129 ","  5,255 ","  9,819 ","  10,111 "
60,0,0,0,0,"  4,418 ","  6,584 ","  7,796 ","  10,165 ","  8,627 "
61,0,0,0,0,"  7,811 ","  19,945 ","  20,906 ","  25,948 ","  25,431 "
62,0,0,0,0,  283 ,  297 ,"  1,135 ","  7,875 ","  14,314 "
63,0,0,0,0,  376 ,"  2,701 ","  10,574 ","  31,079 ","  35,589 "
