Community,1930,1940,1950,1960,1970,1980,1990,2000,2010
38. Grand Boulevard,0,0,0,0,  451 ,  350 ,  146 ,  236 ,  395 
39. Kenwood,0,0,0,0,  275 ,  241 ,  241 ,  301 ,  542 
40. Washington Park,0,0,0,0,  197 ,  205 ,  48 ,  134 ,  104 
41. Hyde Park,0,0,0,0,  882 ,  721 ,  895 ,"  1,230 ","  1,626 "
42. Woodlawn,0,0,0,0,  710 ,  285 ,  178 ,  288 ,  504 
43. South Shore,0,0,0,0,"  1,173 ",  917 ,  497 ,  636 ,  893 
44. Chatham,0,0,0,0,  519 ,  271 ,  198 ,  220 ,  311 
45. Avalon Park,0,0,0,0,  283 ,  109 ,  81 ,  85 ,  153 
46. South Chicago,0,0,0,0,"  11,906 ","  18,229 ","  13,644 ","  10,565 ","  6,774 "
47. Burnside,0,0,0,0,  251 ,  100 ,  16 ,  34 ,  20 
48. Calumet Heights,0,0,0,0,"  1,631 ","  1,481 ",  920 ,  747 ,  569 
49. Roseland,0,0,0,0,"  1,215 ",  550 ,  283 ,  363 ,  458 
50. Pullman,0,0,0,0,  293 ,  642 ,  780 ,  795 ,  571 
51. South Deering,0,0,0,0,"  3,220 ","  4,763 ","  5,038 ","  5,176 ","  4,809 "
52. East Side,0,0,0,0,  807 ,"  2,678 ","  8,177 ","  16,113 ","  18,076 "
53. West Pullman,0,0,0,0,"  1,476 ","  2,309 ","  1,771 ","  1,699 ","  1,509 "
54. Riverdale,0,0,0,0,  157 ,  176 ,  150 ,  160 ,  132 
55. Hegewisch,0,0,0,0,  392 ,  718 ,"  1,290 ","  2,820 ","  4,671 "
56. Garfield Ridge,0,0,0,0,  971 ,"  1,566 ","  2,509 ","  5,948 ","  13,515 "
57. Archer Heights,0,0,0,0,  178 ,  354 ,  779 ,"  5,485 ","  10,182 "
58. Brighton Park,0,0,0,0,"  2,329 ","  4,539 ","  12,044 ","  34,409 ","  38,693 "
59. McKinley Park,0,0,0,0,  970 ,"  2,129 ","  5,255 ","  9,819 ","  10,111 "
60. Bridgeport,0,0,0,0,"  4,418 ","  6,584 ","  7,796 ","  10,165 ","  8,627 "
61. New City,0,0,0,0,"  7,811 ","  19,945 ","  20,906 ","  25,948 ","  25,431 "
62. West Elsdon,0,0,0,0,  283 ,  297 ,"  1,135 ","  7,875 ","  14,314 "
63. Gage Park,0,0,0,0,  376 ,"  2,701 ","  10,574 ","  31,079 ","  35,589 "
64. Clearing,0,0,0,0,  671 ,  916 ,"  1,615 ","  4,688 ","  10,484 "
65. West Lawn,0,0,0,0,  144 ,  599 ,"  2,519 ","  15,179 ","  26,669 "
66. Chicago Lawn,0,0,0,0,  522 ,"  4,940 ","  14,549 ","  21,534 ","  25,141 "
67. West Englewood,0,0,0,0,"  1,977 ",  686 ,  331 ,  459 ,  774 
68. Englewood,0,0,0,0,"  1,740 ",  497 ,  231 ,  347 ,  325 
69. Greater Grand Crossing,0,0,0,0,  501 ,  266 ,  189 ,  276 ,  388 
70. Ashburn,0,0,0,0,  578 ,  905 ,"  2,331 ","  6,674 ","  15,132 "
71. Auburn Gresham,0,0,0,0,  909 ,  463 ,  204 ,  347 ,  459 
72. Beverly,0,0,0,0,  122 ,  308 ,  393 ,  643 ,  915 
73. Washington Heights,0,0,0,0,  570 ,  177 ,  140 ,  231 ,  258 
74. Mount Greenwood,0,0,0,0,  57 ,  154 ,  362 ,  723 ,"  1,382 "
75. Morgan Park,0,0,0,0,  176 ,  280 ,  340 ,  533 ,  619 
76. O'Hare,0,0,0,0,  140 ,  288 ,  519 ,  773 ,"  1,212 "
77. Edgewater,0,0,0,0,"  4,859 ","  7,805 ","  10,567 ","  12,176 ","  9,318 "
Chicago,0,0,0,0,"  247,343 ","  422,063 ","  545,852 ","753,644","778,862"
